标题,链接,作者,出发日期,天数,照片数,人数,玩法,费用,阅读数,点赞数,评论数
#春之女神#徜徉帝都春色，阅尽京城美景。,https://travel.qunar.com/youji/6341579,来自岭南的文...,2016-02-19 出发,共14天,957张照片,独自一人,购物 美食 骑行,人均2000元,16.5万,243,60
经典帝都“延禧攻略”圣地巡礼【故宫、国博、颐和园、恭王府、南锣鼓巷、798】,https://travel.qunar.com/youji/7393620,小鲁面,2018-05-09 出发,共4天,526张照片,,端午 五一 暑假 夏季 人文,人均2000元,10.6万,659,40
【初遇北京图鉴】一口京腔一首歌，一面红墙一抹风,https://travel.qunar.com/youji/7410494,吴七线,2018-08-24 出发,共4天,117张照片,闺蜜,美食 暑假 夏季 第一次,人均4000元,2.6万,138,19
北京一站式吃喝玩乐全攻略丨最详细的攻略，只看这篇就够了,https://travel.qunar.com/youji/7065592,徐微墨,2018-06-11 出发,共5天,234张照片,家庭,深度游 美食 徒步,人均2500元,21万,1226,26
170+北京  玩遍地铁2号线，再附上一份北京深度游攻略！,https://travel.qunar.com/youji/6776195,The170Plus,2016-10-14 出发,共60天,171张照片,三五好友,深度游 美食 徒步,人均170元,11.1万,284,40
BEIJING￨南方人住进了老胡同，探店一把文艺范儿,https://travel.qunar.com/youji/6944927,JoyiiF,2017-10-07 出发,共4天,243张照片,三五好友,美食,,4.5万,308,39
北京的四季美景，你想不想看看,https://travel.qunar.com/youji/5805256,往往bj,2013-03-25 出发,共40天,1296张照片,三五好友,夏季,,11.3万,495,39
游京都，领略畅皇城威严,https://travel.qunar.com/youji/6471335,yggx3306,2014-12-11 出发,共8天,877张照片,,美食,,3.5万,59,14
山河论剑@中国国家博物馆,https://travel.qunar.com/youji/6585876,山河论剑,2016-09-07 出发,共1天,1079张照片,独自一人,人文,,1.3万,9,5
三十年后，意外重温爸妈的北京爱情故事「北京5天5夜」,https://travel.qunar.com/youji/7009736,王其Suki,2017-10-16 出发,共6天,556张照片,家庭,深度游 夏季 赏秋,人均3500元,1.6万,44,4
北京随记，生活在这里的22天,https://travel.qunar.com/youji/6457067,yjou6770,2015-07-04 出发,共23天,336张照片,三五好友,美食,,4.7万,31,8
一个人的北京文化之旅,https://travel.qunar.com/youji/5954298,yuckeyyy,2015-09-26 出发,共8天,219张照片,独自一人,美食 毕业游,人均2726元,18.2万,1170,151
我和臭菲的逃学翘班之京城7天行,https://travel.qunar.com/youji/6560578,orpheusrain,2016-08-29 出发,共7天,237张照片,亲子,美食 人文,人均2600元,3万,102,27
古色古香 VS 新晋文艺丨都在容纳百川的北京城里,https://travel.qunar.com/youji/7413450,清零AGAIN,2018-09-20 出发,共4天,308张照片,三五好友,美食 摄影 赏秋 人文 第一次,人均2500元,6万,292,7
京城七夜,https://travel.qunar.com/youji/6343698,Miss-Mr,2016-03-30 出发,共8天,197张照片,独自一人,购物 美食,人均4000元,14.6万,557,117
赫赫京都千百年，钟灵毓秀萃龙渊,https://travel.qunar.com/youji/6034183,背包-去旅行,2015-08-31 出发,共5天,404张照片,三五好友,美食 短途周末,人均2000元,5.7万,153,71
感受皇城北京的盛事变迁,https://travel.qunar.com/youji/6539455,虚还子都,2014-10-01 出发,共4天,459张照片,,,,1.3万,25,9
偶遇一场雪，北京暴走5天经典自由行,https://travel.qunar.com/youji/7009472,SS62L,2018-03-13 出发,共5天,160张照片,情侣,深度游 购物 美食 漫游 骑行 赏樱 踏春 摄影 徒步 人文 第一次,人均4000元,1.5万,69,17
粽叶飘香的北京,https://travel.qunar.com/youji/6298799,R6T5,2015-06-26 出发,共7天,261张照片,,,人均3600元,2万,62,34
帝都之旅-圆一场岳父的旅行梦,https://travel.qunar.com/youji/6728491,摄万里江山如...,2017-05-16 出发,共6天,545张照片,家庭,购物 美食 古镇 摄影 人文,人均5000元,3.5万,168,10
花开时节动京城,https://travel.qunar.com/youji/6537239,属于你的我的...,2016-04-11 出发,共5天,392张照片,情侣,蜜月 购物 美食 古镇,人均2000元,1.1万,48,30
带孩子看世界one night in北京,https://travel.qunar.com/youji/5740857,leogmh,2015-07-18 出发,共8天,234张照片,家庭,美食,人均3187元,14.8万,762,49
北京的旅行,https://travel.qunar.com/youji/5370769,feiyudestory,2013-07-09 出发,共6天,330张照片,家庭,美食,人均6000元,10万,897,66
我和北京有个约会,https://travel.qunar.com/youji/6415694,ziska招招,2014-08-05 出发,共5天,801张照片,,美食,,4.5万,111,22
冬季游北京，不可错过的旅行,https://travel.qunar.com/youji/5914609,Mr李洪宇,2015-01-01 出发,共4天,160张照片,,美食 冬季,,19.3万,937,46
记忆犹新的8日自助帝都北京游,https://travel.qunar.com/youji/6392208,甜心兔兔,2016-04-23 出发,共8天,389张照片,情侣,购物 美食,人均4000元,2.4万,122,9
【11视野】带着牧马人穿越一线天黄草梁幽州峡谷,https://travel.qunar.com/youji/6946841,野生11,2017-04-02 出发,共3天,162张照片,三五好友,自驾 探险,,9717,105,4
